url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Electrolytes.Additives1.Name,Electrolytes.Additives2.Name,Anode1.Name,Anode2.Name,Cathode1.Name,Cathode2.Name,Cathode3.Name,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Performance.Coulombic efficiency.Value1,Performance.Coulombic efficiency.Value2,Electrolytes.Additives3.Name,Electrolytes.Additives4.Name,Properties of electrolyte.LUMO energy level.Value1.Name,Properties of electrolyte.LUMO energy level.Value1.Value,Properties of electrolyte.LUMO energy level.Value1.Unit,Properties of electrolyte.LUMO energy level.Value2.Name,Properties of electrolyte.LUMO energy level.Value2.Value,Properties of electrolyte.LUMO energy level.Value2.Unit,Properties of electrolyte.LUMO energy level.Value3.Name,Properties of electrolyte.LUMO energy level.Value3.Value,Properties of electrolyte.LUMO energy level.Value3.Unit,Electrolytes.Solvents.Ratio,Electrolytes.Solvents5.Name
3101-10.1016_j.carbon.2005.03.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314-10.1016_j.jallcom.2004.08.080,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC), Ethyl methyl carbonate (EMC)",N/A,Ni3Sn4 alloy,Li metal,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,99,%,100,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:3:4,
3661-10.1016_j.jelechem.2005.04.004,lithium perchlorate (LiClO4),,N/A,Li metal,carbon nanotubes,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,ethylene carbonate (EC),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4039-10.1149_1.2008979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249-10.5796_electrochemistry.73.54,LiClO4,Propylene carbonate (PC),N/A,Li metal,LiMn204,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4344-10.1149_1.1839512,LiPF6,Ethylene carbonate (EC):Dimethyl carbonate (DMC) (1:1),N/A,Li metal,CoF2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,10,mA/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4539-10.5796_electrochemistry.73.120,AlCl3-EMIC-LiClsat.+SOCl2,N/A,N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,24.5,mPa s,25,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,95,%,10,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655-10.1149_1.1825385,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC)/propylene carbonate (PC)/diethylene carbonate (DEC) (1/1/2, by volume)",N/A,MCMB (Mesocarbon Microbeads),LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200,cycles,4,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716-10.1016_j.jfluchem.2005.03.014,lithium perchlorate (LiClO4),ethylene carbonate (EC) and diethyl carbonate (DEC),N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762-10.1149_1.2030127,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + diethyl carbonate (DEC) (1:2),"cyclohexane (CH), 1-methyl-2-pyrrolidinone (NMP)",graphite anode,lithium cobalt oxide (LiCoO2),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,84,%,20,cycles,0.2-0.5,mA/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4770-10.1016_j.jpowsour.2005.02.007,LiPF6,Ethylene carbonate (EC) / Ethyl methyl carbonate (EMC) (3:7 by volume),,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,95.4,%,N/A,cycles,N/A,C,,,,,,Vinylene carbonate (VC),Ethylene sulfite (ES),,,,,,,,,,,,,,,,,,,,,,,
4786-10.1002_adma.200500320,LiCF3SO3,,N/A,Graphitized carbon nanobeads (GCNBs),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,50,cycles,12C,C,Propylene carbonate (PC),Ethylene carbonate (EC),Diethyl carbonate (DEC),"1,2-dimethoxyethane (DME)",,,,,,,,,,,,,,,,,,,,,,,,,,Dimethyl sulfoxide (DMSO)
5345-10.1149_1.1867652,LiPF6,Ethylene carbonate (EC):Dimethyl carbonate (DMC) (1:1 by volume),N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5405-10.1016_j.ssi.2005.02.010,LiPF6,Ethylene carbonate (EC) and Diethyl carbonate (DEC),N/A,Li metal,Li4Ti5O12,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5418-10.1016_j.electacta.2005.03.051,LiPF6,,N/A,Copper foil,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Propylene carbonate (PC),Ethylene carbonate (EC),Dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
5759-10.1016_j.microc.2005.04.004,lithium hexafluorophosphate (LiPF6),"propylene carbonate (PC), ethylene carbonate (EC), dimethyl carbonate (DMC)",N/A,graphite-coated copper foil,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763-10.1007_s11175-005-0114-z,LiClO4,dimethoxyethane (DME),N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,80,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5955-10.1016_j.diamond.2004.12.045,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,raw acid-oxidized multiwall carbon nanotubes,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5963-10.1149_1.1846714,LiPF6,Ethylene carbonate (EC)/Dimethyl carbonate (DMC),N/A,Li metal,LiNi0.8Co0.15Al0.05O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6013-10.1149_1.1872737,lithium hexafluorophosphate (LiPF6),propylene carbonate (PC)/ethylene carbonate (EC)/dimethyl carbonate (DMC),N/A,LixC6,LiyMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6085-10.1149_1.1850390,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), diethyl carbonate (DEC), dimethyl carbonate (DMC)",N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284-10.1016_j.elecom.2005.07.005,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),"Ethylene carbonate (EC), Dimethyl carbonate (DMC), propylene carbonate (PC), acetonitrile (AN), methoxyacetonitrile (MeOAN), γ-butyrolactone (γ-BL)",N/A,Li4Ti5O12,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6510-10.1016_j.ssi.2005.03.021,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7125-10.1238_Physica.Topical.115a00408,LiPF6,Propylene carbonate (PC),Ethylene sulfite (ES),Graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7168-10.1246_cl.2005.984,lithium perchlorate (LiClO4),"ethylene carbonate (EC), diethyl carbonate (DEC)",N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7635-10.1149_1.1906025,Lithium bis-oxolatoborate (LiBOB),"Propylene carbonate (PC), Diethyl carbonate (DEC), Dimethyl carbonate (DMC), Ethylene carbonate (EC)","2,5-ditertbutyl-1,4-dimethoxybenzene","graphite, Li4/3Ti5/3O4",LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200,cycles,"C/2, C",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900-10.1016_j.elecom.2005.01.010,LiPF6,Ethylmethoxyethyl sulfone (EMES),N/A,Li metal,LiCr0.015Mn1.985O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,2.0,°C,286,°C,N/A,°C,N/A,Wh/kg,86,%,200,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900-10.1016_j.elecom.2005.01.010,LiTFSI,Ethylmethoxyethyl sulfone (EMES),N/A,Li metal,LiCr0.015Mn1.985O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,2.0,°C,286,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900-10.1016_j.elecom.2005.01.010,LiTFSI,Methoxyethylmethyl sulfone (MEMS),N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,15.0,°C,275,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7902-10.1016_j.electacta.2005.05.008,LiPF6,"Ethylene carbonate (EC): Ethyl methyl carbonate (EMC) (3:7, w/w)",N/A,Graphite,LiNi0.8Co0.15Al0.05O2 (NCA),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8089-10.1246_cl.2005.512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8144-10.1360_982005-245,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC)",N/A,graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9041-10.1246_cl.2005.1678,lithium perchlorate (LiClO4),propylene carbonate (PC),N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9777-10.1016_j.electacta.2004.10.064,LiPF6,,N/A,Copper foil,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Propylene carbonate (PC),Ethylene carbonate (EC),Dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
9833-10.1007_s10800-005-2700-x,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), diethyl carbonate (DEC)",vinylene carbonate (VC),graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9895-10.1149_1.1993407,lithium hexafluorophosphate (LiPF6),"propylene carbonate (PC), diethyl carbonate (DEC)","phenyl acetate (PA), 1-naphthyl acetate, 3-acetoxypyridine, 4-nitrophenyl acetate, methyl benzoate",graphite,lithium cobalt oxide (LiCoO2),Conventional,0.038,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,-49,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
