url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Cathode.Name1,Cathode.Name2,Cathode.Name3,Cathode.Name4,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Cathode,Properties of electrolyte.LUMO energy level,Properties of electrolyte.HOMO energy level,Properties of electrolyte.Viscosity (η),Properties of electrolyte.Dielectric constant (ε),Properties of electrolyte.Melting point,Properties of electrolyte.Boiling point,Properties of electrolyte.Flash Point,Performance.Energy density,Performance.Coulombic efficiency,Performance.Cycle lifespan,Performance.Rate performance,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Electrolytes.Salts4.Name,Electrolytes.Additives1.Name,Performance.Rate performance.Value1,Performance.Rate performance.Value2,Cathode1.Name,Cathode2.Name,Cathode3.Name,Performance.Coulombic efficiency.Note,Electrolytes.Solvents5.Name,Electrolytes.Additives2.Name,Cathode.Name5,Cathode.Name6,Cathode.Name7,Performance.Energy density.Value1,Performance.Energy density.Value2,Performance.Energy density.Value3,Performance.Energy density.Value4,Performance.Energy density.Value5,Performance.Energy density.Value6,Performance.Energy density.Value7
15858-10.1016_j.elecom.2006.11.005,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),N/A,N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,230,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,8,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16009-10.1016_j.jpowsour.2007.09.025,LiPF6,,Vinyl ethylene carbonate (VEC),Mesocarbon microbead (MCMB),LiCoO2,Conventional,,,,,1.75,mPa s,N/A,°C,22.3,-50,°C,180,°C,N/A,°C,N/A,Wh/kg,85.8,%,N/A,cycles,N/A,C,,,,,Ethylene carbonate (EC),Diethyl carbonate (DEC),Dimethyl methylphosphonate (DMMP),,,,,,,,,,,,,,,,,,,,,,,,,For MCMB anode,,,,,,,,,,,,
16009-10.1016_j.jpowsour.2007.09.025,LiPF6,,Vinyl ethylene carbonate (VEC),Surface-modified graphite (SMG),LiCoO2,Conventional,,,,,1.75,mPa s,N/A,°C,22.3,-50,°C,180,°C,N/A,°C,N/A,Wh/kg,88.2,%,N/A,cycles,N/A,C,,,,,Ethylene carbonate (EC),Diethyl carbonate (DEC),Dimethyl methylphosphonate (DMMP),,,,,,,,,,,,,,,,,,,,,,,,,For SMG anode,,,,,,,,,,,,
2167-10.1149_1.2472552,"lithium perchlorate (LiClO4), sodium perchlorate (NaClO4)","ethylene carbonate (EC), diethyl carbonate (DEC)",N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,86.5,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326-10.1016_j.jpowsour.2007.05.001,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC)",Dimethyl methylphosphonate (DMMP),graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,1.75,mPa s,N/A,°C,22.3,-50,°C,180,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.20 mA cm−2 initially and 0.65 mA cm−2 after the third cycle,mA cm−2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335-10.1016_j.jpowsour.2007.05.078,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),propylene carbonate (PC),butylene sulﬁte (BS),graphite,LiMn1.99Ce0.01O4,Conventional,-0.589,eV,-0.658,eV,N/A,Pa s,N/A,°C,N/A,-23,°C,212,°C,405.2,°C,N/A,Wh/kg,N/A,%,20,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363-10.1149_1.2403079,N/A,N/A,TiS2,Zn metal,MnO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,45,%,40,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619-10.1016_j.jpowsour.2006.12.057,Li hexafluorophosphate (LiPF6),,,Graphite (MCMB),,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,225,cycles,0.5,C,,,,,Ethylene carbonate (EC),Diethyl carbonate (DEC),Ethylmethyl carbonate (EMC),Propylene carbonate (PC),,,,,,,,,,,,,,,,,,Butyl acetate (BA),,,Li cobalt oxide (LiCoO2),Li nickel cobalt oxide (LiNi0.8Co0.2O2),,,γ-butyrolactone (BL),Propyl acetate (PA),,,,,,,,,,
2692-10.1149_1.2772084,LiPF6,"ethylene carbonate (EC), dimethyl carbonate (DMC), diethyl carbonate (DEC)",lithium bisoxalatoborate (LiBOB),N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"C/20, C/10",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692-10.1149_1.2772084,LiF4OP,"ethylene carbonate (EC), dimethyl carbonate (DMC), diethyl carbonate (DEC)",N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"C/20, C/10",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974-10.1149_1.2778853,LiPF6,Ethylene carbonate (EC) - Diethyl carbonate (DEC) (3:7),N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028-10.1016_j.electacta.2007.07.026,LiPF6,"ethylene carbonate (EC), ethyl methyl carbonate (EMC)","triphenylphosphate (TPP), vinyl acetate (VA), vinylene carbonate (VC), vinyl ethylene carbonate (VEC), biphenyl (BP)",mesocarbon microbeads (MCMB),LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,40,cycles,"0.2, 0.5, 1, 2",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3291-10.1007_s11434-007-0169-1,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), dimethyl carbonate (DMC), diethyl carbonate (DEC)",N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300-10.1021_jo701318n,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387-10.1021_cm0714842,Lithium bis-oxalato-borate (LiBOB),"1-(3-{2-[2-(2-Methoxy-ethoxy)-ethoxy]-ethoxy}-propyl)-1,1,3,3,3-pentamethyl-disiloxane (2SM3)",N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,3.8,centipoise,300,K,4.3,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3574-10.1016_j.electacta.2007.05.018,N/A,N/A,Titanium disulphide (TiS2),Zn,γ-MnO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,45,%,40,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585-10.1149_1.2746562,N/A,N/A,N/A,Nongraphitizable carbon,Activated carbon,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,500,cycles,5,mA cm−2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3688-10.1016_j.jpowsour.2006.12.046,N/A,N/A,N/A,graphite,,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,,Wh/kg,N/A,%,N/A,cycles,N/A,C,LiNi0.8Co0.1Mn0.1O2 (NCM811),LiCoO2,LiMn2O4,LiFePO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LiMnPO4,LiNiPO4,LiCoPO4,219.8,193.3,154.3,162.9,186.4,250.2,227.4
4097-10.1016_j.jpowsour.2007.09.023,LiPF6,"Ethylene carbonate (EC)/Dimethyl carbonate (DMC) (1:1, v/v)",N/A,N/A,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228-10.1039_b612422d,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,graphite,Li metal,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,30,cycles,C/10,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407-10.1016_j.electacta.2007.01.064,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC),N/A,AlSb,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433-10.1016_j.ssi.2007.10.003,LiClO4,propylene carbonate (PC) and dimethoxyethane (DME),N/A,Li metal,Li4Mn5O12−ηFη,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,50,cycles,C/5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4433-10.1016_j.ssi.2007.10.003,LiPF6,ethylene carbonate (EC) and diethyl carbonate (DEC),N/A,Li metal,Li4Mn5O12−ηFη,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,50,cycles,C/5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437-10.1016_j.elecom.2007.07.033,LiPF6,Ethylene carbonate (EC):Diethyl carbonate (DEC),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437-10.1016_j.elecom.2007.07.033,LiPF6,Ethylene carbonate (EC):Diethyl carbonate (DEC),N/A,Li metal,Li(Ni0.8Co0.15Al0.05)O2 (NCA),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437-10.1016_j.elecom.2007.07.033,LiPF6,Ethylene carbonate (EC):Diethyl carbonate (DEC),N/A,Li metal,Li(Ni1/3Co1/3Mn1/3)O2 (NCM),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4634-10.1021_jp068691u,LiPF6,,,Graphite,,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,Ethylene carbonate (EC),Dimethyl carbonate (DMC),Ethylmethyl carbonate (EMC),,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4641-10.1016_j.jpowsour.2007.04.067,magnesium perchlorate (Mg(ClO4)2),,N/A,Mg metal,graphite fluoride (CFx),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,618,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,acetonitrile (ACN),dimethylsulfoxide (DMSO),propylene carbonate (PC),tetrahydrofuran (THF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4641-10.1016_j.jpowsour.2007.04.067,magnesium perchlorate (Mg(ClO4)2),,N/A,Mg metal,graphite fluoride (CF(250)),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,292,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,acetonitrile (ACN),dimethylsulfoxide (DMSO),propylene carbonate (PC),tetrahydrofuran (THF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917-10.1016_j.jelechem.2007.01.007,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) / dimethyl carbonate (DMC),N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917-10.1016_j.jelechem.2007.01.007,lithium sulfate (Li2SO4),N/A,N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062-10.1016_j.jelechem.2006.07.002,lithium perchlorate (LiClO4),propylene carbonate (PC),N/A,amorphous silicon (a-Si:H),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,230,cycles,0.175 mA/cm2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5258-10.1016_j.electacta.2007.08.001,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"C/10, C/5",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259-10.1016_j.electacta.2006.12.076,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC):dimethyl carbonate (DMC) (1:1 by weight),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5263-10.1016_j.electacta.2007.02.064,Lithium perchlorate (LiClO4),,N/A,Graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,-49.2,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,16,cycles,0.25,C,,,,,Propylene carbonate (PC),Dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352-10.1016_j.electacta.2006.10.045,N/A,N/A,N/A,Li metal,LiCoO2,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443-10.1016_j.elecom.2006.10.011,LiPF6,Ethylene carbonate (EC):Dimethyl carbonate (DMC),N/A,Li metal,LiNiVO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443-10.1016_j.elecom.2006.10.011,LiPF6,Ethylene carbonate (EC):Diethyl carbonate (DEC),N/A,Li metal,LiNiVO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443-10.1016_j.elecom.2006.10.011,LiAsF6,Ethylene carbonate (EC):Dimethyl carbonate (DMC),N/A,Li metal,LiNiVO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,1300,mAh/g,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5595-10.1016_j.jpowsour.2006.12.094,N/A,N/A,N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,50,cycles,0.5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760-10.1016_j.jpowsour.2007.01.065,lithium perchlorate (LiClO4),"ethylene carbonate (EC), diethyl carbonate (DEC)",N/A,Li4Ti5O12,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,30,cycles,0.57 to 5.7,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5776-10.1016_j.electacta.2006.12.081,lithium perchlorate (LiClO4),,N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/37,C,,,,,ethylene carbonate (EC),propylene carbonate (PC),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6076-10.1016_j.jpowsour.2007.04.006,N/A,N/A,N/A,Li metal,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,11140,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6374-10.1016_j.enconman.2007.03.015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6403-10.1016_j.matchemphys.2007.04.073,LiPF6,Ethylene carbonate (EC) + Dimethyl carbonate (DMC),N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,45,cycles,C/2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6515-10.1016_j.jpowsour.2006.12.015,LiPF6,,N/A,Lithium titanate spinel (LTS),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,270,Wh/kg,80,%,N/A,cycles,"C/20, C/10, C/5",C,,,,,Ethylene carbonate (EC),Dimethyl carbonate (DMC),Diethyl carbonate (DEC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954-10.1016_j.jpowsour.2007.05.072,lithium perchlorate (LiClO4),propylene carbonate (PC),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7143-10.1149_1.2409866,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), dimethyl carbonate (DMC)",N/A,graphite (MCMB),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,36.4,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7143-10.1149_1.2409866,lithium tetrafluoroborate (LiBF4),"ethylene carbonate (EC), dimethyl carbonate (DMC)",N/A,graphite (MCMB),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,36.4,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7192-10.1016_j.jpowsour.2006.10.106,LiPF6,Ethylene carbonate (EC):Ethyl methyl carbonate (EMC),N/A,MCMB graphite,LiNi1/3Mn1/3Co1/3O2 (NMC),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2 C to 0.8 C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7343-10.1016_j.jpowsour.2007.07.013,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) and dimethyl carbonate (DMC),N/A,lithium (Li),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/10,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7803-10.1016_j.electacta.2006.10.010,Lithium nitrate (LiNO3),Aqueous solution,N/A,TiP2O7,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,42,mAh/g,85,%,10,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7803-10.1016_j.electacta.2006.10.010,Lithium nitrate (LiNO3),Aqueous solution,N/A,LiTi2(PO4)3,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,45,mAh/g,85,%,10,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7855-10.1002_cjoc.200790087,Lithium perchlorate (LiClO4),"Formamide (FA), Acetonitrile (ACN)",N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7946-10.1016_j.elecom.2006.11.013,LiPF6,Ethylene carbonate (EC)/Dimethyl carbonate (DMC),N/A,Graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,91.5,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8029-10.1016_j.electacta.2006.10.006,"Lithium hydroxide (LiOH), Zinc sulphate (ZnSO4)",N/A,Titanium disulphide (TiS2),Zn metal,Manganese dioxide (MnO2),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8381-10.1016_j.elecom.2006.08.019,LiPF6,,N/A,SnS/C nanocomposite thin-film,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,60,%,40,cycles,N/A,C,,,,,Ethylene carbonate (EC),Dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8416-10.1016_j.molstruc.2006.06.004,lithium perchlorate (LiClO4),4-methoxymethyl-ethylene carbonate (MEC),N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,36.4,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8438-10.1149_1.2711068,N/A,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li metal,LiNi0.4Co0.2Mn0.4O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,90.6,%,60,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
